Pailly;1416
Essertines-sur-Yverdon;1417
Vuarrens;1418
Fiez;1420
Fontaines-sur-Grandson;1421
Grandevent;1421
Grandson;1422
Bonvillars;1423
Tévenon;1423
Champagne;1424
Onnens (VD);1425
Concise;1426
Corcelles-près-Concise;1426
Bonvillars;1427
Concise;1428
Mutrux;1428
Provence;1428
Giez;1429
Orges;1430
Novalles;1431
Vugelles-La Mothe;1431
Belmont-sur-Yverdon;1432
Valeyres-sous-Ursins;1432
Yverdon-les-Bains;1432
Suchy;1433
Ependes (VD);1434
Chavornay;1435
Essert-Pittet;1435
Chamblon;1436
Treycovagnes;1436
Suscévaz;1437
Mathod;1438
Rances;1439
Valeyres-sous-Montagny;1441
Montagny-près-Yverdon;1442
Champvent;1443
Sainte-Croix;1445
Vuiteboeuf;1445
Baulmes;1446
Sainte-Croix;1450
Bullet;1452
Sainte-Croix;1452
Bullet;1453
Fiez;1453
Fontaines-sur-Grandson;1453
Mauborget;1453
Tévenon;1453
Sainte-Croix;1454
Cheseaux-Noréaz;1462
Yvonand;1462
Rovray;1463
Chavannes-le-Chêne;1464
Chêne-Pâquier;1464
Cheyres;1468
Estavayer-le-Lac;1470
Lully (FR);1470
Châtillon (FR);1473
Estavayer-le-Lac;1473
Châbles;1474
Vernay;1475
Cugy (FR);1482
Cugy (FR);1483
Lully (FR);1483
Les Montets;1483
Les Montets;1484
Nuvilly;1485
Valbroye;1485
Vuissens;1486
Murist;1489
Vucherens;1509
Moudon;1510
Syens;1510
Chavannes-sur-Moudon;1512
Hermenches;1513
Rossenges;1513
Corcelles-le-Jorat;1513
Ropraz;1513
Bussy-sur-Moudon;1514
Villars-le-Comte;1515
Montanaire;1515
Curtilles;1521
Lucens;1522
Valbroye;1522
Valbroye;1523
Valbroye;1524
Villeneuve (FR);1525
Henniez;1525
Valbroye;1525
Cremin;1526
Forel-sur-Lucens;1526
Villeneuve (FR);1527
Surpierre;1528
Cheiry;1529
Rueyres-les-Prés;1530
Corcelles-près-Payerne;1530
Payerne;1530
Fétigny;1532
Ménières;1533
Cheiry;1534
Valbroye;1534
Valbroye;1535
Valbroye;1536
Champtauroz;1537
Treytorrens (Payerne);1538
Bussy (FR);1541
Morens (FR);1541
Sévaz;1541
Rueyres-les-Prés;1542
Grandcour;1543
Gletterens;1544
Chevroux;1545
Payerne;1551
Trey;1552
Châtonnaye;1553
Villarzel;1554
Villarzel;1555
Montagny (FR);1562
Corcelles-près-Payerne;1562
Payerne;1562
Belmont-Broye;1563
Belmont-Broye;1564
Vallon;1565
Missy;1565
Saint-Aubin (FR);1566
Delley-Portalban;1567
Delley-Portalban;1568
Belmont-Broye;1580
Avenches;1580
Villarepos;1583
Vully-les-Lacs;1584
Vully-les-Lacs;1585
Vully-les-Lacs;1586
Vully-les-Lacs;1587
Cudrefin;1588
Vully-les-Lacs;1589
Clavaleyres;1595
Faoug;1595
Puidoux;1607
Oron;1607
Chapelle (Glâne);1608
Oron;1608
Saint-Martin (FR);1609
Oron;1610
La Verrerie;1611
Attalens;1612
Oron;1612
Maracon;1613
Granges (Veveyse);1614
Chardonne;1614
Bossonnens;1615
Attalens;1616
Attalens;1617
Remaufens;1617
Châtel-Saint-Denis;1618
Remaufens;1618
Châtel-Saint-Denis;1619
Semsales;1623
Semsales;1624
La Verrerie;1624
Sâles;1625
Sâles;1626
Vaulruz;1627
Semsales;1627
Riaz;1628
Vuadens;1628
Bulle;1630
Riaz;1632
Marsens;1633
La Roche;1634
Bulle;1635
Gruyères;1635
Le Pâquier (FR);1635
Broc;1636
Gruyères;1636
Val-de-Charmey;1637
Morlon;1638
Sorens;1642
Pont-en-Ogoz;1643
Pont-en-Ogoz;1644
Pont-en-Ogoz;1645
Corbières;1646
Echarlens;1646
Corbières;1647
Hauteville;1648
Pont-la-Ville;1649
Corbières;1651
Botterens;1652
Châtel-sur-Montsalvens;1653
Crésuz;1653
Val-de-Charmey;1654
Jaun;1656
Boltigen;1657
Saanen;1657
Rossinière;1658
Château-d'Oex;1659
Rougemont;1659
Château-d'Oex;1660
Gruyères;1661
Le Pâquier (FR);1661
Gruyères;1663
Bas-Intyamon;1665
Grandvillard;1666
Bas-Intyamon;1666
Bas-Intyamon;1667
Haut-Intyamon;1669
Ursy;1670
