1436;Chamblon
1436;Treycovagnes
1437;Suscévaz
1438;Mathod
1439;Rances
1441;Valeyres-sous-Montagny
1442;Montagny-près-Yverdon
1443;Champvent
1445;Sainte-Croix
1445;Vuiteboeuf
1446;Baulmes
1450;Sainte-Croix
1452;Bullet
1452;Sainte-Croix
1453;Bullet
1453;Fiez
1453;Fontaines-sur-Grandson
1453;Mauborget
1453;Tévenon
1454;Sainte-Croix
1462;Cheseaux-Noréaz
1462;Yvonand
1463;Rovray
1464;Chavannes-le-Chêne
1464;Chêne-Pâquier
1468;Cheyres
1470;Estavayer-le-Lac
1470;Lully (FR)
1473;Châtillon (FR)
1473;Estavayer-le-Lac
1474;Châbles
1475;Vernay
1482;Cugy (FR)
1483;Cugy (FR)
1483;Lully (FR)
1483;Les Montets
1484;Les Montets
1485;Nuvilly
1485;Valbroye
1486;Vuissens
1489;Murist
1509;Vucherens
1510;Moudon
1510;Syens
1512;Chavannes-sur-Moudon
1513;Hermenches
1513;Rossenges
1513;Corcelles-le-Jorat
1513;Ropraz
1514;Bussy-sur-Moudon
1515;Villars-le-Comte
1515;Montanaire
1521;Curtilles
1522;Lucens
1522;Valbroye
1523;Valbroye
1524;Valbroye
1525;Villeneuve (FR)
1525;Henniez
1525;Valbroye
1526;Cremin
1526;Forel-sur-Lucens
1527;Villeneuve (FR)
1528;Surpierre
1529;Cheiry
1530;Rueyres-les-Prés
1530;Corcelles-près-Payerne
1530;Payerne
1532;Fétigny
1533;Ménières
1534;Cheiry
1534;Valbroye
1535;Valbroye
1536;Valbroye
1537;Champtauroz
1538;Treytorrens (Payerne)
1541;Bussy (FR)
1541;Morens (FR)
1541;Sévaz
1542;Rueyres-les-Prés
1543;Grandcour
1544;Gletterens
1545;Chevroux
1551;Payerne
1552;Trey
1553;Châtonnaye
1554;Villarzel
1555;Villarzel
1562;Montagny (FR)
1562;Corcelles-près-Payerne
1562;Payerne
1563;Belmont-Broye
1564;Belmont-Broye
1565;Vallon
1565;Missy
1566;Saint-Aubin (FR)
1567;Delley-Portalban
1568;Delley-Portalban
1580;Belmont-Broye
1580;Avenches
1583;Villarepos
1584;Vully-les-Lacs
1585;Vully-les-Lacs
1586;Vully-les-Lacs
1587;Vully-les-Lacs
1588;Cudrefin
1589;Vully-les-Lacs
1595;Clavaleyres
1595;Faoug
1607;Puidoux
1607;Oron
1608;Chapelle (Glâne)
1608;Oron
1609;Saint-Martin (FR)
1610;Oron
1611;La Verrerie
1612;Attalens
1612;Oron
1613;Maracon
1614;Granges (Veveyse)
1614;Chardonne
1615;Bossonnens
1616;Attalens
1617;Attalens
1617;Remaufens
1618;Châtel-Saint-Denis
1618;Remaufens
1619;Châtel-Saint-Denis
1623;Semsales
1624;Semsales
1624;La Verrerie
1625;Sâles
1626;Sâles
1627;Vaulruz
1627;Semsales
1628;Riaz
1628;Vuadens
1630;Bulle
1632;Riaz
1633;Marsens
1634;La Roche
1635;Bulle
1635;Gruyères
1635;Le Pâquier (FR)
1636;Broc
1636;Gruyères
1637;Val-de-Charmey
1638;Morlon
1642;Sorens
1643;Pont-en-Ogoz
1644;Pont-en-Ogoz
1645;Pont-en-Ogoz
1646;Corbières
1646;Echarlens
1647;Corbières
1648;Hauteville
1649;Pont-la-Ville
